m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_4_ML_polar_HILIC_neg_01.raw (F4),Area: FVB_1_ML_polar_HILIC_neg_01.raw (F7),Area: FVB_2_ML_polar_HILIC_neg_01.raw (F8),Area: FVB_3_ML_polar_HILIC_neg_01.raw (F9),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F10)
316.06512,0.641,21463751.3631793,2769747.77398265,1712554.78940114,1309524.27943637,1571455.47855548,1552376.5834954,2421616.11752036,2091049.3341322,1547259.66969963
466.08218,0.632,13473607.5100216,1232923.94740125,612552.663187947,484302.811398045,624379.334622294,800599.17889841,1067361.74532704,939685.994780439,585738.73497462
730.18621,0.594,11883058.4705891,1125208.06318702,524588.413624549,512141.268168424,534537.133817785,491947.93795352,753393.541431237,596008.608985472,481540.831762155
448.07147,0.633,11850440.0695771,1109173.62960129,574972.394317838,452822.590067414,580349.360703204,636211.653642931,946655.159812542,860737.862644551,533087.114695679
218.03651,6.612,6162767.95534309,2576787.54271212,2769382.26060408,4758828.26289279,5997172.67386273,3384422.85323924,2841977.62787989,4006384.53865338,6162767.95534309
323.99568,2.505,6211706.11700713,2104837.52644093,3079688.41993323,4669764.41709689,5410268.79380645,3539682.86350859,3530444.98010357,4681975.66015923,6211706.11700713
420.05826,0.619,6673940.75480314,832139.018025335,529201.973753097,374222.355817176,605780.970252325,454473.211523952,648849.05115688,710893.516379063,603939.542987692
166.96997,0.907,856102.737079492,524030.485648134,481615.339617273,856102.737079492,732565.801421061,310684.447573688,332732.981819995,555391.458025435,326915.123501275
1248.31774,0.587,7147409.90640839,354215.808079714,90348.0968978483,138415.622302035,97810.9572969895,87140.6318890094,252635.932796892,93001.7833816587,90082.1384463177
354.021,0.715,7285224.33627441,535826.880385977,256457.618975869,345214.156551986,356039.560981392,300526.054137122,409959.992479038,327933.66501404,285262.139809342
540.10085,0.621,8065982.1061713,505443.102214122,266539.473445347,185613.651878246,258444.442629511,342251.139116074,447442.136633159,373164.544727583,240207.726355247
320.23841,0.826,8091414.85935841,8091414.85935841,991554.587765778,1411127.81645813,21095.5782104087,1808990.93937819,2871610.68965576,99777.7360740334,2750550.66893798
1174.29949,0.585,8270946.51435286,460212.387185878,167882.235088532,185175.917325634,174388.586890165,90556.9514991241,292384.724775217,152819.652151835,149165.033867237
242.04614,0.671,9907832.94417865,1299739.79970125,663925.993529788,594647.683390166,667918.303346612,493604.420126438,721861.145034928,685404.74966949,521183.270112484
428.03973,0.662,8448385.09682996,609882.102354579,353758.45150265,334858.996610627,426863.843992162,398881.963836951,600191.137682563,390036.028436241,281622.33773919
656.1672,0.598,9088288.09378533,958836.079156066,369252.729121087,386288.395926255,424276.28662754,373764.242959683,556507.299053317,530728.98269956,406565.408087109
374.05248,0.645,9674955.42963507,1032291.76791043,569023.334222476,421047.944644949,519105.767582756,571473.552550386,848604.138428817,828405.958904938,471924.498995959
1100.28076,0.586,9778036.6807789,596720.263350479,227310.855408453,271316.977964916,234207.260431674,183658.897793363,333701.920139325,234489.913694378,212679.648857117
313.10238,2.46,9848274.61864423,3424567.16455212,3028861.34298164,1581696.21631773,1117609.81992862,9848274.61864423,3374638.78876229,3604408.05031038,1089569.37662722
1026.26201,0.586,11030733.2050801,815855.933985522,302690.93060773,342369.25658517,318230.358462391,283102.576772481,437851.907286709,318255.716326265,294624.78136011
158.04275,3.341,11037277.1402408,3948844.56115267,4803732.19327781,5921898.41840238,11037277.1402408,9866147.86875611,5525882.58661533,7243294.44436963,9961679.71408691
390.08393,0.627,13418081.4903778,1663541.59712576,1012116.55967621,722526.433020443,817354.833442102,1003746.20745861,1390477.52453148,1146950.06770236,766168.330678464
125.01326,6.618,11840739.6737203,5428188.17802934,4715016.3500581,8149657.74067818,11840739.6737203,3622262.59901239,3761426.25485551,4567531.4096223,4575414.86033467
614.11935,0.621,7378554.44638486,229616.264991179,190906.850619098,139925.872387887,99827.5904234852,147833.510590235,418138.279786836,165107.641929033,113905.350869214
452.27754,0.935,541768.899897145,52535.325179242,14068.0711095061,18422.5627906891,38567.2893181266,270459.680587732,12588.884027193,157110.774846886,541768.899897145
